accuracy,balanced_accuracy,best_epoch,best_test_loss,f1,false_negative_rate,false_positive_rate,feature_columns,final_test_loss,fixed_0_5_accuracy,fixed_0_5_balanced_accuracy,fixed_0_5_f1,fixed_0_5_false_negative_rate,fixed_0_5_false_positive_rate,fixed_0_5_fn,fixed_0_5_fp,fixed_0_5_pr_auc,fixed_0_5_precision,fixed_0_5_recall,fixed_0_5_roc_auc,fixed_0_5_specificity,fixed_0_5_threshold,fixed_0_5_tn,fixed_0_5_tp,fly_threshold_km,fn,fp,k,model,n_features,pos_weight,pr_auc,precision,raw_pos_weight,recall,roc_auc,selected_threshold,specificity,split_mode,test_fly_rate,test_samples,threshold,tn,tp,train_fly_rate,train_samples,use_bird_id
0.9291989664082687,0.7562376687803967,,,0.5259515570934256,0.44525547445255476,0.042269187986651836,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.8718346253229974,0.7995441000949961,0.44144144144144143,0.2846715328467153,0.11624026696329255,39,209,0.4796008160838257,0.31921824104234525,0.7153284671532847,0.8705617758580094,0.8837597330367074,0.5,1589,98,,61,76,10,logistic_regression_balanced,10,,0.4796008160838257,0.5,,0.5547445255474452,0.8705617758580094,0.7814143077792919,0.9577308120133482,stratified,0.0708010345697403,1935,0.7814143077792919,1722,76,0.07108698785305023,7737,
0.951937984496124,0.7448726484414963,,,0.5974025974025975,0.49635036496350365,0.013904338153503892,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9503875968992248,0.7339237433320072,0.5789473684210527,0.5182481751824818,0.013904338153503892,71,25,0.5684224592159334,0.7252747252747253,0.48175182481751827,0.8868044786177667,0.9860956618464961,0.5,1773,66,,68,25,10,random_forest_balanced,10,,0.5684224592159334,0.7340425531914894,,0.5036496350364964,0.8868044786177667,0.48285514554658504,0.9860956618464961,stratified,0.0708010345697403,1935,0.48285514554658504,1773,69,0.07108698785305023,7737,
0.9526343799893561,0.8064474163501067,,,0.6536964980544747,0.36363636363636365,0.02346880366342301,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.8802554550292709,0.8515637196232503,0.48979591836734704,0.18181818181818182,0.11505437893531768,24,201,0.6612255758540238,0.34951456310679613,0.8181818181818182,0.9294418136719225,0.8849456210646823,0.5,1546,108,,48,41,20,logistic_regression_balanced,10,,0.6612255758540238,0.672,,0.6363636363636364,0.9294418136719225,0.8959808791874593,0.976531196336577,chronological,0.07025013118982315,1879,0.8959808791874593,1706,84,0.06947032362222672,7514,
0.9600851516764236,0.8664810671107179,,,0.7272727272727273,0.24242424242424243,0.024613623354321695,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9568919638105375,0.7632152954849005,0.6367713004484304,0.4621212121212121,0.011448196908986834,61,20,0.7012986470513719,0.7802197802197802,0.5378787878787878,0.9508573138367072,0.9885518030910132,0.5,1727,71,,32,43,20,random_forest_balanced,10,,0.7012986470513719,0.6993006993006993,,0.7575757575757576,0.9508573138367072,0.29763466192445015,0.9753863766456783,chronological,0.07025013118982315,1879,0.29763466192445015,1704,100,0.06947032362222672,7514,
0.9276210750399149,0.7669069994934232,,,0.5277777777777777,0.4198473282442748,0.04633867276887872,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.8621607237892496,0.7882159763830419,0.4153498871331829,0.29770992366412213,0.12585812356979406,39,220,0.5081955613425491,0.2948717948717949,0.7022900763358778,0.887692804863137,0.8741418764302059,0.5,1528,92,,55,81,20,logistic_regression_balanced,10,,0.5081955613425491,0.4840764331210191,,0.5801526717557252,0.887692804863137,0.7713175965986714,0.9536613272311213,stratified,0.06971793621778488,1879,0.7713175965986714,1667,76,0.06960340589284897,7514,
0.9521021820117084,0.7871263996366622,,,0.6341463414634146,0.40458015267175573,0.02116704805491991,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.951037786056413,0.7477160375216169,0.5929203539823008,0.48854961832061067,0.016018306636155607,64,28,0.5980468888032807,0.7052631578947368,0.5114503816793893,0.9147204220308488,0.9839816933638444,0.5,1720,67,,53,37,20,random_forest_balanced,10,,0.5980468888032807,0.6782608695652174,,0.5954198473282443,0.9147204220308488,0.4003514616707021,0.9788329519450801,stratified,0.06971793621778488,1879,0.4003514616707021,1711,78,0.06960340589284897,7514,
0.9495661605206074,0.8001341336791398,,,0.6381322957198444,0.37404580152671757,0.02568593111500292,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.8758134490238612,0.8379856775533303,0.47597254004576656,0.20610687022900764,0.11792177466433158,27,202,0.634975813953381,0.33986928104575165,0.7938931297709924,0.9056518852243508,0.8820782253356684,0.5,1511,104,,49,44,30,logistic_regression_balanced,10,,0.634975813953381,0.6507936507936508,,0.6259541984732825,0.9056518852243508,0.9002510563833822,0.974314068884997,chronological,0.07104121148586273,1844,0.9002510563833822,1669,82,0.06943314522504807,7374,
0.9609544468546638,0.8556124472489227,,,0.7272727272727273,0.26717557251908397,0.021599532983070636,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9517353579175705,0.7449031430061095,0.5972850678733032,0.4961832061068702,0.014010507880910683,65,24,0.7055100368671557,0.7333333333333333,0.5038167938931297,0.952542969568143,0.9859894921190894,0.5,1689,66,,35,37,30,random_forest_balanced,10,,0.7055100368671557,0.7218045112781954,,0.732824427480916,0.952542969568143,0.3062794947729477,0.9784004670169294,chronological,0.07104121148586273,1844,0.3062794947729477,1676,96,0.06943314522504807,7374,
0.9289587852494577,0.7288200329965873,,,0.4942084942084942,0.5038759689922481,0.03848396501457726,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.8665943600867679,0.7884873550749203,0.4225352112676056,0.3023255813953488,0.1206997084548105,39,207,0.4833057772222897,0.30303030303030304,0.6976744186046512,0.8562750016950301,0.8793002915451895,0.5,1508,90,,65,66,30,logistic_regression_balanced,10,,0.4833057772222897,0.49230769230769234,,0.49612403100775193,0.8562750016950301,0.8439534826291393,0.9615160349854227,stratified,0.06995661556720734,1844,0.8439534826291393,1649,64,0.06970436871051788,7374,
0.943058568329718,0.782997717359369,,,0.5945945945945946,0.40310077519379844,0.030903790087463558,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9441431670281996,0.6939702126697855,0.5024154589371981,0.5968992248062015,0.015160349854227406,77,26,0.5547942561694215,0.6666666666666666,0.40310077519379844,0.9069677040251316,0.9848396501457726,0.5,1689,52,,52,53,30,random_forest_balanced,10,,0.5547942561694215,0.5923076923076923,,0.5968992248062015,0.9069677040251316,0.27859456129692256,0.9690962099125364,stratified,0.06995661556720734,1844,0.27859456129692256,1662,77,0.06970436871051788,7374,
0.9474272930648769,0.7842243975903614,,,0.6178861788617885,0.40625,0.02530120481927711,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.8741610738255033,0.8240775602409638,0.46555819477434673,0.234375,0.11746987951807229,30,195,0.6101065892868096,0.33447098976109213,0.765625,0.8936135165662652,0.8825301204819277,0.5,1465,98,,52,42,50,logistic_regression_balanced,10,,0.6101065892868096,0.6440677966101694,,0.59375,0.8936135165662652,0.9150010521657607,0.9746987951807229,chronological,0.07158836722373962,1788,0.9150010521657607,1618,76,0.07047965377569199,7151,
0.9602908277404921,0.856042921686747,,,0.7258687258687258,0.265625,0.022289156626506025,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.953579418344519,0.7514871987951808,0.613953488372093,0.484375,0.012650602409638554,62,21,0.6798632085199646,0.7586206896551724,0.515625,0.9520331325301205,0.9873493975903614,0.5,1639,66,,34,37,50,random_forest_balanced,10,,0.6798632085199646,0.7175572519083969,,0.734375,0.9520331325301205,0.3298167205236118,0.977710843373494,chronological,0.07158836722373962,1788,0.3298167205236118,1623,94,0.07047965377569199,7151,
0.9345637583892618,0.7227522778064295,,,0.5063291139240507,0.5238095238095238,0.030685920577617327,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.8461968680089486,0.7595696521689301,0.37641723356009066,0.3412698412698413,0.13959085439229843,43,232,0.45422976977511215,0.2634920634920635,0.6587301587301587,0.8275074971825875,0.8604091456077015,0.5,1430,83,,66,51,50,logistic_regression_balanced,10,,0.45422976977511215,0.5405405405405406,,0.47619047619047616,0.8275074971825875,0.8950006625168816,0.9693140794223827,stratified,0.07046979665756226,1788,0.8950006625168816,1611,60,0.07075933367013931,7151,
0.9401565995525727,0.8137785800240673,,,0.6109090909090908,0.3333333333333333,0.03910950661853189,"['lat_median', 'lon_median', 'delta_lat', 'delta_lon', 'step_length_km', 'heading_sin', 'heading_cos', 'doy_sin', 'doy_cos', 'stopover_duration_days']",,0.9491051454138703,0.7049022978625866,0.5380710659898478,0.5793650793650794,0.010830324909747292,73,18,0.5541033839897154,0.7464788732394366,0.42063492063492064,0.8978544687028442,0.9891696750902527,0.5,1644,53,,42,65,50,random_forest_balanced,10,,0.5541033839897154,0.5637583892617449,,0.6666666666666666,0.8978544687028442,0.22562338776040972,0.9608904933814681,stratified,0.07046979665756226,1788,0.22562338776040972,1597,84,0.07075933367013931,7151,
